transaction_id,customer_id,timestamp,satisfaction,total_spent,item_id,item_name,quantity,price_per_unit,item_total
1,2,00:00:26,6,0.0,1,Placeholder,1,0.0,0.0
1,2,00:00:26,6,0.0,2,SKU_2,1,0.0,0.0
2,3,00:00:38,6,0.0,1,Placeholder,1,0.0,0.0
2,3,00:00:38,6,0.0,2,SKU_2,1,0.0,0.0
3,4,00:00:43,6,0.0,1,Placeholder,1,0.0,0.0
3,4,00:00:43,6,0.0,2,SKU_2,1,0.0,0.0
4,5,00:00:46,6,0.0,1,Placeholder,1,0.0,0.0
4,5,00:00:46,6,0.0,2,SKU_2,1,0.0,0.0
5,11,00:01:41,6,0.0,1,Placeholder,1,0.0,0.0
5,11,00:01:41,6,0.0,2,SKU_2,1,0.0,0.0
6,10,00:01:54,6,0.0,1,Placeholder,1,0.0,0.0
6,10,00:01:54,6,0.0,2,SKU_2,1,0.0,0.0
7,9,00:02:02,6,0.0,1,Placeholder,1,0.0,0.0
7,9,00:02:02,6,0.0,2,SKU_2,1,0.0,0.0
8,14,00:02:09,6,0.0,1,Placeholder,1,0.0,0.0
8,14,00:02:09,6,0.0,2,SKU_2,1,0.0,0.0
9,21,00:02:12,6,0.0,1,Placeholder,1,0.0,0.0
9,21,00:02:12,6,0.0,2,SKU_2,1,0.0,0.0
10,16,00:02:26,6,0.0,1,Placeholder,1,0.0,0.0
10,16,00:02:26,6,0.0,2,SKU_2,1,0.0,0.0
11,22,00:02:28,6,0.0,1,Placeholder,1,0.0,0.0
11,22,00:02:28,6,0.0,2,SKU_2,1,0.0,0.0
12,28,00:02:38,6,0.0,1,Placeholder,1,0.0,0.0
12,28,00:02:38,6,0.0,2,SKU_2,1,0.0,0.0
13,30,00:03:04,6,0.0,1,Placeholder,1,0.0,0.0
13,30,00:03:04,6,0.0,2,SKU_2,1,0.0,0.0
14,24,00:03:10,6,0.0,1,Placeholder,1,0.0,0.0
14,24,00:03:10,6,0.0,2,SKU_2,1,0.0,0.0
15,20,00:03:12,6,0.0,1,Placeholder,1,0.0,0.0
15,20,00:03:12,6,0.0,2,SKU_2,1,0.0,0.0
16,31,00:03:28,6,0.0,1,Placeholder,1,0.0,0.0
16,31,00:03:28,6,0.0,2,SKU_2,1,0.0,0.0
17,35,00:03:44,6,0.0,1,Placeholder,1,0.0,0.0
17,35,00:03:44,6,0.0,2,SKU_2,1,0.0,0.0
18,40,00:03:50,6,0.0,1,Placeholder,1,0.0,0.0
18,40,00:03:50,6,0.0,2,SKU_2,1,0.0,0.0
19,36,00:03:55,6,0.0,1,Placeholder,1,0.0,0.0
19,36,00:03:55,6,0.0,2,SKU_2,1,0.0,0.0
20,39,00:04:00,6,0.0,1,Placeholder,1,0.0,0.0
20,39,00:04:00,6,0.0,2,SKU_2,1,0.0,0.0
21,34,00:04:03,6,0.0,1,Placeholder,1,0.0,0.0
21,34,00:04:03,6,0.0,2,SKU_2,1,0.0,0.0
22,42,00:04:16,6,0.0,1,Placeholder,1,0.0,0.0
22,42,00:04:16,6,0.0,2,SKU_2,1,0.0,0.0
23,45,00:04:18,6,0.0,1,Placeholder,1,0.0,0.0
23,45,00:04:18,6,0.0,2,SKU_2,1,0.0,0.0
24,46,00:04:23,6,0.0,1,Placeholder,1,0.0,0.0
24,46,00:04:23,6,0.0,2,SKU_2,1,0.0,0.0
25,47,00:04:26,6,0.0,1,Placeholder,1,0.0,0.0
