id,age,gender,annual_income,family_size,total_spent,average_spend,loyalty_rating,num_purchases,num_returns,is_churn,basket_size_multiplier,price_sensitivity,impulsivity
1,54,Female,34.75020292865065,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
2,33,Male,24.444548210191712,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
3,35,Female,31.250353984298055,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
4,41,Male,22.354303852081674,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
5,44,Female,54.5224233474177,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
6,39,Female,21.862864125464064,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
7,34,Male,27.35905978748735,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
8,46,Male,75.02070712654243,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
9,37,Female,66.6436591102153,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
10,34,Female,26.825633140057516,6,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
11,41,Male,25.68393353038932,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
12,49,Female,18.7736040761004,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
13,22,Male,78.82856972316705,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
14,27,Female,16.578321627058582,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
15,30,Male,81.93366352333183,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
16,50,Male,17.79530507287887,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
17,31,Male,26.47914912091621,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
18,37,Female,11.580799322575494,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
19,32,Female,38.62441520699301,5,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
20,36,Female,33.45975359687695,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
21,53,Male,56.83726660165987,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
22,41,Male,30.64487662038199,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
23,46,Male,24.18959895712227,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
24,30,Female,17.352523969216342,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
25,51,Male,18.761033523702526,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
26,32,Female,6.8306363722349515,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
27,47,Female,101.93607352305621,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
28,19,Male,14.683870611297737,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
29,41,Male,22.202496927417997,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
30,48,Female,35.99315678802022,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
31,31,Male,16.907595095701698,4,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
32,34,Female,17.13888531631126,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
33,36,Female,38.23750417573528,4,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
34,36,Male,14.333533616322987,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
35,40,Female,29.510840005000343,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
36,26,Male,15.824309869115439,5,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
37,39,Male,60.84776401278864,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
38,30,Female,34.796631676770765,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
39,43,Female,50.04673049752933,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
40,30,Male,35.470400221869575,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
41,34,Male,38.966715212991794,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
42,52,Male,21.205781222980335,2,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
43,56,Female,38.93310779207593,7,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
44,39,Male,25.98430629165601,6,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
45,45,Male,57.94969652028186,3,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
46,27,Female,20.55955515678865,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
47,39,Female,43.91777089338963,1,0.0,0.0,55.00000000000001,1,0,False,1.0,0.5,0.35
48,26,Female,54.36616309262335,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
49,10,Male,24.892342276012908,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
50,39,Female,22.254409462456124,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
51,30,Female,33.87393827050134,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
52,48,Female,48.846103402002555,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
53,31,Male,16.960871924129115,3,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
54,40,Male,30.311894499406346,1,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
55,35,Male,51.50098926403851,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
56,35,Male,48.743219758087115,2,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
