transaction_id,customer_id,timestamp,satisfaction,total_spent,sim_date,day_of_week,item_id,item_name,quantity,price_per_unit,item_total
1,1,00:14:56,8,175.45,2026-03-25,2,2,Laptop,1,3.99,3.99
1,1,00:14:56,8,175.45,2026-03-25,2,7,T-shirt,1,6.49,6.49
1,1,00:14:56,8,175.45,2026-03-25,2,11,Chuckwagon Beans,1,14.99,14.99
1,1,00:14:56,8,175.45,2026-03-25,2,20,Work Gloves,1,89.99,89.99
1,1,00:14:56,8,175.45,2026-03-25,2,28,Leather Saddlebag,1,59.99,59.99
2,2,00:26:38,8,116.96999999999998,2026-03-25,2,6,1984,1,7.99,7.99
2,2,00:26:38,8,116.96999999999998,2026-03-25,2,20,Work Gloves,1,89.99,89.99
2,2,00:26:38,8,116.96999999999998,2026-03-25,2,26,Rodeo Rope,1,18.99,18.99
3,3,00:39:29,8,61.95,2026-03-25,2,3,Refrigerator,1,4.49,4.49
3,3,00:39:29,8,61.95,2026-03-25,2,4,Microwave,1,5.99,5.99
3,3,00:39:29,8,61.95,2026-03-25,2,7,T-shirt,1,6.49,6.49
3,3,00:39:29,8,61.95,2026-03-25,2,21,Cowboy Hat,1,4.99,4.99
3,3,00:39:29,8,61.95,2026-03-25,2,24,Flannel Shirt,1,39.99,39.99
4,4,00:51:30,8,153.43,2026-03-25,2,4,Microwave,1,5.99,5.99
4,4,00:51:30,8,153.43,2026-03-25,2,11,Chuckwagon Beans,1,14.99,14.99
4,4,00:51:30,8,153.43,2026-03-25,2,12,Campfire Chili,1,19.99,19.99
4,4,00:51:30,8,153.43,2026-03-25,2,13,Smoky BBQ Sauce,1,9.99,9.99
4,4,00:51:30,8,153.43,2026-03-25,2,20,Work Gloves,1,89.99,89.99
4,4,00:51:30,8,153.43,2026-03-25,2,21,Cowboy Hat,1,4.99,4.99
4,4,00:51:30,8,153.43,2026-03-25,2,27,Bull Rope Rosin,1,7.49,7.49
5,5,01:03:00,8,103.94,2026-03-25,2,5,The Great Gatsby,1,3.49,3.49
5,5,01:03:00,8,103.94,2026-03-25,2,7,T-shirt,1,6.49,6.49
5,5,01:03:00,8,103.94,2026-03-25,2,10,Action Figure,1,8.99,8.99
