id,age,gender,annual_income,family_size,total_spent,average_spend,loyalty_rating,num_purchases,num_returns,is_churn,basket_size_multiplier,price_sensitivity,impulsivity
1,50,Female,14.463115797858526,1,37.98,37.98,55.00000000000001,1,0,False,1.0,0.5,0.35
2,29,Male,15.50197802029693,4,123.96999999999998,123.96999999999998,55.00000000000001,1,0,False,1.0,0.5,0.35
3,30,Female,58.41312366289396,3,86.46,86.46,55.00000000000001,1,0,False,1.0,0.5,0.35
4,44,Male,62.23136818893023,2,31.97,31.97,55.00000000000001,1,0,False,1.0,0.5,0.35
5,33,Male,41.66911033974812,3,34.96,34.96,55.00000000000001,1,0,False,1.0,0.5,0.35
6,15,Male,102.31403068472221,3,80.96000000000001,80.96000000000001,55.00000000000001,1,0,False,1.0,0.5,0.35
7,23,Male,47.05232445960991,2,21.97,21.97,55.00000000000001,1,0,False,1.0,0.5,0.35
8,43,Female,39.817232302308845,3,91.46,91.46,55.00000000000001,1,0,False,1.0,0.5,0.35
9,51,Female,47.13953706429382,3,15.97,15.97,55.00000000000001,1,0,False,1.0,0.5,0.35
10,28,Male,81.8801681174318,3,48.959999999999994,48.959999999999994,55.00000000000001,1,0,False,1.0,0.5,0.35
11,57,Female,29.38081199630995,3,129.97,129.97,55.00000000000001,1,0,False,1.0,0.5,0.35
12,24,Female,23.88411442290366,2,10.98,10.98,55.00000000000001,1,0,False,1.0,0.5,0.35
13,50,Female,37.378148826424656,1,17.48,17.48,55.00000000000001,1,0,False,1.0,0.5,0.35
14,32,Female,52.23498492505039,1,33.97,33.97,55.00000000000001,1,0,False,1.0,0.5,0.35
15,37,Male,33.65598115873915,3,86.95,86.95,55.00000000000001,1,0,False,1.0,0.5,0.35
16,33,Male,69.74804854764966,2,56.47,56.47,55.00000000000001,1,0,False,1.0,0.5,0.35
17,36,Female,12.952576846541684,3,46.46,46.46,55.00000000000001,1,0,False,1.0,0.5,0.35
18,44,Female,41.19498763209661,3,17.97,17.97,55.00000000000001,1,0,False,1.0,0.5,0.35
19,35,Female,23.787021821262645,3,32.97,32.97,55.00000000000001,1,0,False,1.0,0.5,0.35
20,47,Female,26.402118615628734,2,119.46999999999998,119.46999999999998,55.00000000000001,1,0,False,1.0,0.5,0.35
21,40,Female,47.198729977336725,3,63.45,63.45,55.00000000000001,1,0,False,1.0,0.5,0.35
22,33,Female,25.155813023849262,1,35.98,35.98,55.00000000000001,1,0,False,1.0,0.5,0.35
23,47,Male,34.56848213379333,6,117.42999999999998,117.42999999999998,55.00000000000001,1,0,False,1.0,0.5,0.35
24,37,Male,81.2015894819974,5,72.92999999999999,72.92999999999999,55.00000000000001,1,0,False,1.0,0.5,0.35
25,33,Female,33.71115846865077,4,157.44,157.44,55.00000000000001,1,0,False,1.0,0.5,0.35
26,25,Male,30.75727412880796,1,10.98,10.98,55.00000000000001,1,0,False,1.0,0.5,0.35
27,17,Male,13.445079718210922,6,168.44000000000003,168.44000000000003,55.00000000000001,1,0,False,1.0,0.5,0.35
28,54,Male,24.059922380486704,3,67.97,67.97,55.00000000000001,1,0,False,1.0,0.5,0.35
29,38,Female,32.936357214127106,4,56.959999999999994,56.959999999999994,55.00000000000001,1,0,False,1.0,0.5,0.35
30,45,Female,6.673339225716502,4,102.46,102.46,55.00000000000001,1,0,False,1.0,0.5,0.35
31,38,Female,60.83464968470161,3,36.96,36.96,55.00000000000001,1,0,False,1.0,0.5,0.35
32,37,Female,27.267865886087627,2,38.98,38.98,55.00000000000001,1,0,False,1.0,0.5,0.35
33,39,Female,24.731983886579993,7,142.95,142.95,55.00000000000001,1,0,False,1.0,0.5,0.35
34,24,Male,20.923545136619882,3,57.959999999999994,57.959999999999994,55.00000000000001,1,0,False,1.0,0.5,0.35
35,44,Male,53.18760927294822,4,107.46,107.46,55.00000000000001,1,0,False,1.0,0.5,0.35
36,51,Female,10.827528498881712,1,28.479999999999997,28.479999999999997,55.00000000000001,1,0,False,1.0,0.5,0.35
37,31,Male,17.10498651089857,5,83.96000000000001,83.96000000000001,55.00000000000001,1,0,False,1.0,0.5,0.35
38,38,Female,29.15617734408897,4,39.97,39.97,55.00000000000001,1,0,False,1.0,0.5,0.35
39,38,Male,45.92645202734797,5,100.44,100.44,55.00000000000001,1,0,False,1.0,0.5,0.35
40,45,Female,64.66626156873578,5,0.0,0.0,50.0,0,0,False,1.0,0.5,0.35
